Shteti,Viti,mbetje_te_gjeneruara_gjithsej,mbetje_te_perpunuara,asgjesim_ne_landfill_dhe_metoda_te_tjera,popullesia_totale,papunesia_perqindja_totale_fuqise_punetore,popullesia_urbane_perqindja_mbi_popullesine_totale,mbetje_per_fryme,norma_e_depozitimit_ne_landfill,norma_e_trajtimit_jo_ne_landfill,intensiteti_trajtimit,PBB_per_fryme,popullesia_totale.1,papunesia_zscore,popullesia_urbane_zscore,mbetje_per_fryme_zscore,intensiteti_trajtimit_zscore,PBB_per_fryme_zscore,_row_id,cluster,perdorimi_internetit_nga_individe
Bullgaria,2015,3011,2960,1994,6984225,9.143,73.10305786,431.1144042,0.662238459,0.337761541,0.983062106,49,0.364388259,0.107257924,1.449735369,0.111452213,0.76569082,-0.692147316,1,1,56.6563
Estonia,2015,473,411,35,1315407,6.412,68.47966097,359.584524,0.073995772,0.926004228,0.868921776,77,-0.657675985,-0.568045706,0.771831056,-0.808288002,-0.851674326,0.802944282,2,0,88.4097
Letonia,2015,798,738,494,1977527,9.873,67.89653957,403.5343133,0.619047619,0.380952381,0.92481203,62,-0.53829851,0.2877675,0.686331039,-0.243176072,-0.059711053,0.002002355,3,1,79.2006
Lituania,2015,1300,1283,702,2911109,9.12,67.2282486,446.5652093,0.54,0.46,0.986923077,75,-0.369977569,0.101570636,0.588343057,0.310120612,0.820400671,0.696152025,4,1,71.3781
Mali i Zi,2015,310,304,294,624651,17.555,64.81816529,496.2771211,0.948387097,0.051612903,0.980645161,42,-0.78221641,2.187321689,0.234965248,0.949322639,0.731442789,-1.065920215,5,1,68.1198
Rumania,2015,4904,4288,3522,19815616,6.812,53.70718395,247.4815822,0.718189233,0.281810767,0.874388254,56,2.677834541,-0.46913635,-1.394179372,-2.249721757,-0.774214484,-0.318374416,6,2,55.7632
Serbia,2015,1840,1374,1360,7095383,17.66,60.1388092,259.3235629,0.739130435,0.260869565,0.74673913,40,0.384429582,2.213285395,-0.451144067,-2.097456076,-2.582998852,-1.172712472,7,2,65.317
Shqiperia,2015,1413,1413,970,2731293,17.193,55.15792914,517.3373929,0.686482661,0.313517339,1,30,-0.402397644,2.097808721,-1.181464253,1.220118268,1.00570029,-1.706673757,0,1,56.9
Slovenia,2015,926,869,210,2063531,8.962,53.66121603,448.7453787,0.226781857,0.773218143,0.938444924,81,-0.522792347,0.06250144,-1.400919406,0.338153504,0.133466662,1.016528796,8,0,73.0987
Bullgaria,2016,2881,2877,1851,6894139,7.575,73.17500305,417.8911971,0.642485248,0.357514752,0.998611593,51,0.348146128,-0.280466753,1.460284313,-0.058573451,0.986026606,-0.585355059,10,1,59.8255
Estonia,2016,494,453,51,1315790,6.882,68.72403818,375.4398498,0.103238866,0.896761134,0.917004049,78,-0.657606931,-0.451827213,0.807662798,-0.604418225,-0.170349923,0.856340411,11,0,87.2402
Letonia,2016,802,737,516,1959537,9.643,67.93071109,409.2803555,0.643391521,0.356608479,0.918952618,63,-0.541542032,0.23089462,0.691341429,-0.169292738,-0.142738745,0.055398483,12,1,79.8421
Lituania,2016,1272,1211,379,2877325,7.862,67.18942261,442.0772766,0.297955975,0.702044025,0.952044025,75,-0.376068683,-0.20949929,0.582650207,0.252414208,0.326165524,0.696152025,13,0,74.3766
Mali i Zi,2016,307,313,290,625353,17.732,64.91016923,490.9227268,0.944625407,0.055374593,1.019543974,44,-0.782089843,2.231089079,0.2484553,0.880475162,1.282637831,-0.959127958,14,1,69.8816
Rumania,2016,5143,4760,3741,19702267,5.901,53.5528172,261.0359508,0.727396461,0.272603539,0.925529846,58,2.657398189,-0.694402409,-1.416813355,-2.075437976,-0.049539617,-0.211582159,15,2,59.504
Serbia,2016,1890,1495,1490,7058322,15.257,60.385387,267.769025,0.788359788,0.211640212,0.791005291,40,0.377747639,1.619087436,-0.414989664,-1.98886326,-1.955748646,-1.172712472,16,2,67.0568
Shqiperia,2016,1300,1300,1016,2689469,15.418,55.57387345,483.366791,0.781538462,0.218461538,1,30,-0.409938337,1.658898452,-1.120476532,0.783319987,1.00570029,-1.706673757,9,1,59.6
Slovenia,2016,943,790,78,2065042,8,53.64727402,456.6493079,0.08271474,0.91728526,0.837751856,82,-0.52251992,-0.175375562,-1.40296365,0.439783222,-1.293351186,1.069924925,17,0,75.4985
Bullgaria,2017,"3,080",3071,1903,6803468,6.164,73.39045715,452.7102942,0.617857143,0.382142857,0.997077922,52,0.331798525,-0.629369507,1.491875212,0.389134888,0.964294531,-0.53195893,19,1,63.4101
Estonia,2017,514,492,99,1317384,5.807,68.99319419,390.1671798,0.192607004,0.807392996,0.957198444,80,-0.65731954,-0.717646108,0.847127725,-0.41505236,0.399203483,0.963132668,20,0,88.1025
Letonia,2017,798,737,518,1942248,8.715,67.97068661,410.8641121,0.649122807,0.350877193,0.923558897,64,-0.544659167,0.001424913,0.697202829,-0.148928596,-0.077467909,0.108794612,21,1,80.1141
Lituania,2017,"1,286",1275,421,2842639,7.073,67.10129547,452.3965231,0.327371695,0.672628305,0.991446345,78,-0.382322424,-0.404597995,0.56972859,0.385100379,0.884495251,0.856340411,22,0,77.6153
Mali i Zi,2017,305,294,285,625982,16.082,64.99924387,487.2344572,0.93442623,0.06557377,0.963934426,45,-0.781976437,1.823087984,0.261515845,0.833050927,0.494652161,-0.90573183,23,1,71.2723
Rumania,2017,"5,333",5072,4052,19588715,4.927,53.36486432,272.248588,0.759797487,0.240202513,0.951059441,62,2.636925237,-0.935246692,-1.444371894,-1.931264474,0.312213998,0.002002355,24,2,63.7473
Serbia,2017,"2,150",1806,1800,7020858,13.477,60.62120819,306.2303781,0.837209302,0.162790698,0.84,40,0.370993036,1.1789408,-0.380412447,-1.494322335,-1.261495048,-1.172712472,25,2,70.3308
Shqiperia,2017,"1,254",1254,993,2648285,13.616,55.98027643,473.5139911,0.791866029,0.208133971,1,30,-0.41736364,1.213311802,-1.060887805,0.656631445,1.00570029,-1.706673757,18,1,62.4
Slovenia,2017,974,773,99,2066388,6.564,55.24511337,471.3538793,0.10164271,0.89835729,0.793634497,84,-0.522277242,-0.530460151,-1.168680888,0.628856455,-1.918492875,1.176717182,26,0,78.8854
Bullgaria,2018,"2,862",2859,1750,6710798,5.211,73.6002121,426.4768512,0.611460517,0.388539483,0.998951782,53,0.315090511,-0.865021049,1.522630474,0.051821971,0.990847071,-0.478562802,28,1,64.782
Estonia,2018,535,505,115,1321977,5.412,69.28035329,404.6969047,0.214953271,0.785046729,0.943925234,82,-0.656491441,-0.815319097,0.889232351,-0.228227326,0.211122485,1.069924925,29,0,89.357
Letonia,2018,785,676,462,1927174,7.412,68.01603464,407.3321869,0.588535032,0.411464968,0.861146497,66,-0.547376946,-0.320772315,0.703851971,-0.194342535,-0.961849804,0.215586869,30,0,83.5772
Lituania,2018,"1,301",1167,320,2819200,6.147,67.1464742,461.4784336,0.245964643,0.754035357,0.897002306,81,-0.386548378,-0.633573155,0.576352909,0.501876729,-0.453774034,1.016528796,31,0,79.7226
Mali i Zi,2018,321,298,280,626438,15.19,65.08540689,512.4210217,0.872274143,0.127725857,0.92834891,47,-0.781894222,1.602520119,0.274149475,1.156902947,-0.009593572,-0.798939573,32,1,71.5171
Rumania,2018,"5,296",4960,4095,19473970,4.187,53.14457116,271.9527657,0.773225076,0.226774924,0.936555891,65,2.616237192,-1.118229001,-1.47667232,-1.935068195,0.106699118,0.16219074,33,2,70.6813
Serbia,2018,"2,230",1956,1950,6982604,12.733,60.8433609,319.3650965,0.874439462,0.125560538,0.877130045,41,0.364095999,0.994969398,-0.347839366,-1.325434471,-0.735363394,-1.119316344,34,2,73.3607
Shqiperia,2018,"1,325",1325,1017,2607733,12.304,56.37700026,508.1041656,0.76754717,0.23245283,1,30,-0.424674997,0.888889113,-1.002718281,1.101396267,1.00570029,-1.706673757,27,1,65.4
Slovenia,2018,"1,009",796,97,2073894,5.108,55.1913431,486.5243836,0.096134787,0.903865213,0.788899901,86,-0.520923942,-0.890490208,-1.176564941,0.823920711,-1.985581963,1.283509439,35,0,79.75
Bullgaria,2019,3080,3071,1903,6616726,4.23,73.7162323,465.4870097,0.617857143,0.382142857,0.997077922,55,0.298129722,-1.107596245,1.539641904,0.553419506,0.964294531,-0.371770545,37,1,67.947
Estonia,2019,490,458,85,1326898,4.514,69.57873977,369.2823412,0.173469388,0.826530612,0.934693878,84,-0.655604205,-1.037370602,0.932983186,-0.683592246,0.080314438,1.176717182,38,0,90.2289
Letonia,2019,840,854,482,1913822,6.312,68.06632369,438.9122917,0.573809524,0.426190476,1.016666667,66,-0.549784256,-0.592773045,0.711225591,0.211718433,1.241866471,0.215586869,39,1,86.1355
Lituania,2019,1319,1159,284,2811089,6.255,67.24573517,469.2131768,0.215314632,0.784685368,0.878695982,83,-0.388010758,-0.606867629,0.590907021,0.601331032,-0.713174113,1.123321053,40,0,81.5819
Mali i Zi,2019,339,322,301,626753,15.128,65.16867599,540.8829316,0.887905605,0.112094395,0.949852507,49,-0.781837429,1.587189169,0.286358784,1.522869771,0.295111781,-0.692147316,41,1,73.4767
Rumania,2019,5430,5007,4120,19371648,3.912,52.89318352,280.3065594,0.758747698,0.241252302,0.922099448,69,2.597788963,-1.186229184,-1.513531963,-1.827654063,-0.098148269,0.375775254,42,2,73.6575
Serbia,2019,2350,2024,2020,6945235,10.395,61.04922485,338.3614809,0.859574468,0.140425532,0.861276596,42,0.357358524,0.41684421,-0.31765462,-1.081176565,-0.960006306,-1.065920215,43,2,77.4168
Shqiperia,2019,1087,1087,872,2567801,11.466,56.76390713,423.3194083,0.802207912,0.197792088,1,30,-0.43187457,0.681674011,-0.945988167,0.011223173,1.00570029,-1.706673757,36,1,68.5504
Slovenia,2019,1052,868,108,2088385,4.446,55.45232773,503.7385348,0.102661597,0.897338403,0.825095057,87,-0.518311275,-1.054185193,-1.13829814,1.045262436,-1.472697655,1.336905568,44,0,83.1084
Bullgaria,2020,2829,2673,1903,6550696,5.125,73.32398987,431.8625074,0.672675857,0.327324143,0.94485684,57,0.286224788,-0.88628656,1.482129465,0.121071418,0.224323318,-0.264978288,46,1,70.1625
Estonia,2020,509,440,75,1329522,6.956,69.88157789,382.8443606,0.147347741,0.852652259,0.864440079,85,-0.655131109,-0.433528982,0.977386744,-0.509210092,-0.915179846,1.23011331,47,0,89.0583
Letonia,2020,909,865,480,1900449,8.098,68.12112229,478.3080209,0.528052805,0.471947195,0.95159516,69,-0.552195352,-0.151142769,0.719260419,0.718273683,0.319805111,0.375775254,48,1,88.898
Lituania,2020,1350,1197,220,2810369,8.487,67.42546082,480.3639664,0.162962963,0.837037037,0.886666667,87,-0.388140571,-0.05495342,0.617259245,0.74470929,-0.600229741,1.336905568,49,0,83.0555
Mali i Zi,2020,302,284,268,626590,17.878,65.24906884,481.9738585,0.887417219,0.112582781,0.940397351,44,-0.781866817,2.267190994,0.298146364,0.765409485,0.16113249,-0.959127958,50,1,77.6088
Rumania,2020,5619,5113,4114,19265250,5.035,52.61194725,291.6650446,0.732158747,0.267841253,0.909948389,72,2.578605847,-0.908541166,-1.554768156,-1.681605229,-0.270328408,0.53596364,51,2,78.4553
Serbia,2020,2947,2820,2188,6899126,9.011,61.22320175,427.1555556,0.742449949,0.257550051,0.956905327,44,0.349045264,0.074617837,-0.292145304,0.060548838,0.395050036,-0.959127958,52,1,78.368
Shqiperia,2020,1048,1048,846,2528480,11.69,57.14085922,414.4782636,0.807251908,0.192748092,1,30,-0.438963982,0.737063251,-0.890717669,-0.10245738,1.00570029,-1.706673757,45,1,72.2377
Slovenia,2020,1024,809,69,2102419,4.971,55.38439178,487.0580032,0.067382813,0.932617188,0.790039063,88,-0.515781003,-0.924366663,-1.148259229,0.830782059,-1.969440076,1.390301696,53,0,86.6013
Bullgaria,2021,3058,3038,892,6507301,5.267,73.34676562,469.9336945,0.291693918,0.708306082,0.993459778,60,0.27840085,-0.851173739,1.485468953,0.610595539,0.91302553,-0.104789902,55,0,75.2714
Estonia,2021,525,518,103,1330932,6.178,70.17772741,394.4604232,0.196190476,0.803809524,0.986666667,85,-0.654876892,-0.62590768,1.020809587,-0.359849295,0.816767345,1.23011331,56,0,90.9797
Letonia,2021,869,868,456,1884490,7.513,68.18087915,461.1327203,0.524741082,0.475258918,0.998849252,71,-0.555072693,-0.295797703,0.728022253,0.497431503,0.989394224,0.482567511,57,1,91.1796
Lituania,2021,1345,1290,207,2808380,7.112,68.1912117,478.9237924,0.153903346,0.846096654,0.959107807,88,-0.388499179,-0.394954333,0.729537261,0.726191351,0.426259102,1.390301696,58,0,86.9305
Mali i Zi,2021,319,311,297,625053,16.543,65.32660313,510.3567217,0.931034483,0.068965517,0.97492163,46,-0.782143932,1.937081017,0.309514808,1.130359918,0.650340519,-0.852335701,59,1,82.2197
Rumania,2021,5777,5354,4262,19122059,5.59,52.23215121,302.1118176,0.737753159,0.262246841,0.926778605,72,2.552789107,-0.771304434,-1.610455646,-1.547279305,-0.031844746,0.53596364,60,2,83.5904
Serbia,2021,3022,2893,2356,6834326,9.843,61.36389923,442.1796678,0.779616148,0.220383852,0.957313038,45,0.337362094,0.280349298,-0.271515575,0.253730765,0.400827278,-0.90573183,61,1,81.1659
Shqiperia,2021,875,875,693,2489762,11.474,57.5077187,351.4392139,0.792,0.208,1,31,-0.445944676,0.683652198,-0.836926997,-0.913021427,1.00570029,-1.653277629,54,1,79.3237
Slovenia,2021,1077,853,66,2108079,4.744,55.30462894,510.8916696,0.061281337,0.938718663,0.792014856,88,-0.514760529,-0.980497722,-1.159954434,1.137238345,-1.941443139,1.390301696,62,0,89.004
Bullgaria,2022,3157,2919,1695,6465097,4.268,73.4799164,488.3144058,0.536902122,0.463097878,0.924611973,62,0.270791645,-1.098199856,1.50499215,0.846937042,-0.06254585,0.002002355,64,0,79.1269
Estonia,2022,503,445,66,1348840,5.571,70.48923337,372.9130216,0.131212724,0.868787276,0.884691849,83,-0.651648154,-0.776002628,1.066484064,-0.636908501,-0.628212851,1.123321053,65,0,91.5202
Letonia,2022,872,848,380,1879383,6.815,68.25702181,463.9820622,0.435779817,0.564220183,0.972477064,69,-0.555993464,-0.46839453,0.73918665,0.534068701,0.615701092,0.375775254,66,0,91.0301
Lituania,2022,1317,1324,180,2831639,5.955,68.28664524,465.1016602,0.13667426,0.86332574,1.00531511,87,-0.384305679,-0.681049646,0.743530178,0.548464633,1.081015245,1.336905568,67,0,87.7242
Mali i Zi,2022,332,327,312,623591,14.851,65.40129654,532.4002431,0.939759036,0.060240964,0.984939759,48,-0.782407524,1.51869444,0.320466709,1.413798294,0.792297114,-0.745543444,68,1,88.2219
Rumania,2022,5767,5415,4253,19048502,5.614,52.16348325,302.7534659,0.737471822,0.262528178,0.938963066,72,2.539527086,-0.765369872,-1.620524068,-1.53902891,0.14080871,0.53596364,69,2,85.5031
Serbia,2022,3179,3043,2457,6664449,8.439,61.90138135,477.0086769,0.772884555,0.227115445,0.957219251,45,0.306733979,-0.066822543,-0.192707405,0.701566555,0.399498328,-0.90573183,70,1,83.5383
Shqiperia,2022,820,820,629,2451636,10.137,57.86434777,334.4705331,0.767073171,0.232926829,1,33,-0.452818635,0.353047675,-0.784636356,-1.131206862,1.00570029,-1.546485372,63,1,82.6137
Slovenia,2022,1029,864,81,2112076,4.011,55.33778179,487.1983773,0.078717201,0.921282799,0.839650146,89,-0.514039886,-1.161749118,-1.155093407,0.832587007,-1.266452472,1.443697825,71,0,88.9125
Bullgaria,2023,"3,156",2155,1397,6446596,4.319,73.73226716,489.5606922,0.442648923,0.557351077,0.682826362,63,0.267455992,-1.085588914,1.541993011,0.862961949,-3.488640911,0.055398483,73,0,80.3896
Estonia,2023,512,464,3,1370286,6.378,70.67700855,373.644626,0.005859375,0.994140625,0.90625,70,-0.64778153,-0.576453002,1.094016548,-0.627501439,-0.322734478,0.429171383,74,0,93.1834
Lituania,2023,"1,282",1266,100,2871585,6.841,68.57545458,446.4433405,0.07800312,0.92199688,0.987519501,86,-0.377103581,-0.461965422,0.785876769,0.308553607,0.82885198,1.283509439,75,0,88.5029
Mali i Zi,2023,353,345,332,623529,14.621,65.47316676,566.1324493,0.940509915,0.059490085,0.97733711,52,-0.782418702,1.46182156,0.33100466,1.847531253,0.684567806,-0.53195893,76,1,89.8052
Rumania,2023,"5,822",5482,4407,19061062,5.589,52.1645747,305.4394346,0.756956372,0.243043628,0.941600824,75,2.541791602,-0.771551707,-1.620364034,-1.504492386,0.178185674,0.696152025,77,2,89.2034
